l_id,longitude,latitude
400,-87.607826,41.838615
401,-87.636529,41.941898
402,-87.671036,41.942814
403,-87.677533,41.914586
404,-87.625214,41.903633
405,-87.702049,41.863235
406,-87.640079,41.932892
407,-87.576843,41.780552
408,-87.648628,41.917908
409,-87.645378,41.962132
410,-87.634972,41.911289
411,-87.631821,41.854301
412,-87.636787,41.939468
413,-87.645561,41.962025
414,-87.677361,41.908218
415,-87.636787,41.939468
416,-87.617638,41.885406
417,-87.697029,41.910271
418,-87.63072,41.87667
419,-87.624333,41.879535
420,-87.643612,41.905066
421,-87.648727,41.920212
422,-87.663025,41.869427
423,-87.625229,41.899601
424,-87.636597,41.895851
425,-87.650002,41.939999
426,-87.610001,41.82
427,-87.653076,41.910328
428,-87.699997,41.919998
429,-87.639999,41.900002
430,-87.63136,41.900948
431,-87.64983,41.910892
432,-87.636665,41.87775
433,-87.650002,41.919998
434,-87.64864,41.884495
435,-87.713898,41.814201
436,-87.66723,41.89098
437,-87.669998,42.009998
438,-87.629997,41.889999
439,-87.62531,41.86659
440,-87.669998,41.900002
441,-87.60189,41.76392
442,-87.650002,41.939999
443,-87.6511,41.909824
444,-87.668625,41.904736
445,-87.669304,41.967396
446,-87.653076,41.910328
447,-87.677961,41.910268
448,-87.71346,41.932465
449,-87.659996,41.951279
450,-87.6685,41.912437
451,-87.689026,41.92965
452,-87.62554,41.854923
453,-87.682625,41.94291
454,-87.642394,41.885713
455,-87.620852,41.87315
456,-87.726,41.816253
457,-87.650612,41.972228
458,-87.638535,41.902815
459,-87.606769,41.792785
460,-87.625748,41.865215
461,-87.636536,41.894753
462,-87.668556,41.927074
463,-87.668724,41.921547
464,-87.676319,41.909982
465,-87.649945,41.963647
466,-87.649241,41.88655
467,-87.62809,41.887844
468,-87.696787,41.739077
469,-87.632559,41.829061
470,-87.651592,41.909831
471,-87.72297,41.87155
472,-87.63751,41.88033
473,-87.67428,41.90834
474,-87.624484,41.882659
475,-87.615911,41.793789
476,-87.624955,41.883305
477,-87.632519,41.889183
478,-87.62793,41.885777
479,-87.575188,41.781887
480,-87.629704,41.894128
481,-87.6063,41.796773
482,-87.653544,41.853203
483,-87.631424,41.897049
484,-87.629546,41.888175
485,-87.61921,41.866302
486,-87.656084,41.946184
487,-87.563868,41.768263
488,-87.721916,41.852177
489,-87.624257,41.883207
490,-87.664135,41.896395
491,-87.621284,41.897167
492,-87.658452,41.966974
493,-87.599495,41.809612
494,-87.637978,41.893383
495,-87.646713,41.864572
496,-87.660387,41.969621
497,-87.648872,41.896104
498,-87.625115,41.853898
499,-87.663956,41.950195
500,-87.580171,41.792389
501,-87.648635,41.911835
502,-87.588781,41.800703
503,-87.617199,41.870012
504,-87.618913,41.891024
505,-87.628053,41.888711
506,-87.625145,41.897694
507,-87.642403,41.95298
508,-87.638657,41.902031
509,-87.619105,41.88088
510,-87.618599,41.867565
511,-87.624135,41.874361
512,-87.777557,42.152363
513,-87.61379,41.891094
514,-87.644356,41.967873
515,-87.645252,41.923259
516,-87.646996,41.8914
517,-87.61916,41.89101
518,-87.646672,41.918797
519,-87.642875,41.889038
520,-87.623093,41.891777
521,-87.624148,41.874484
522,-87.601791,41.816872
523,-87.637123,41.931104
524,-87.625374,41.884857
525,-87.68066,41.936541
526,-87.677132,41.909302
527,-87.630467,41.867451
528,-87.637107,41.882243
529,-87.632657,41.893239
530,-87.631485,41.830868
531,-88.053009,42.343022
532,-87.644493,41.871044
533,-87.693206,41.942385
534,-87.626626,41.888878
535,-87.625015,41.884495
536,-87.596349,41.787234
537,-87.624402,41.878904
538,-87.600164,41.816686
539,-87.601345,41.794296
540,-87.607689,41.793983
541,-87.628135,41.894318
542,-87.659496,41.883795
543,-87.64678,41.924046
544,-87.648285,41.911877
545,-87.627457,41.885368
546,-87.66505,41.95435
547,-87.593781,41.757248
548,-87.66855,41.904686
549,-87.636726,41.884319
550,-87.652,41.894173
551,-87.660246,41.939573
552,-87.630236,41.883325
553,-87.627388,41.884212
554,-87.674218,41.876262
555,-87.658567,41.86938
556,-87.64554,41.867107
557,-87.633278,41.81152
558,-87.634918,41.911526
559,-87.649849,41.926253
560,-87.627899,41.870789
561,-87.606804,41.7512
562,-87.646054,41.887142
563,-87.681572,41.912823
564,-87.608246,41.75827
565,-87.63738,41.918309
566,-87.649216,41.952572
567,-87.648636,41.900784
568,-87.64885,41.928745
569,-87.661659,41.934521
570,-87.599869,41.825428
571,-87.586319,41.768913
572,-87.66629,41.96315
573,-87.641449,41.949921
574,-87.616539,41.809292
575,-87.632355,41.816414
576,-87.649367,41.942995
577,-87.65374,41.918095
578,-87.607412,41.866475
579,-87.628754,41.884609
580,-87.651276,41.884125
581,-87.682869,41.885891
582,-87.629799,41.878113
583,-87.66378,41.963974
584,-87.609612,41.891975
585,-87.625389,41.875645
586,-87.674149,41.88126
587,-87.711815,41.869633
588,-87.639381,41.878681
589,-87.667442,41.907143
590,-87.698853,41.910538
591,-87.633963,41.926372
592,-87.654381,41.893562
593,-87.631599,41.896027
594,-87.666786,41.903252
595,-87.629478,41.884888
596,-87.646637,41.858093
597,-87.634865,41.911499
598,-87.674179,41.910534
599,-87.624435,41.899593
600,-87.639863,41.940549
601,-87.719223,41.853119
602,-87.61978,41.758198
603,-87.650185,41.853245
604,-87.660339,41.933807
605,-87.655052,41.67765
606,-87.55074,41.75823
607,-87.674156,41.907925
608,-87.625664,41.913597
609,-87.631943,41.890259
610,-87.629433,41.8881
611,-87.645363,41.96899
612,-87.676689,41.909794
613,-87.633636,41.92577
614,-87.60318,41.781559
615,-87.649612,41.885876
616,-87.632072,41.889774
617,-87.663873,41.869488
618,-87.624815,41.891495
619,-87.654846,41.954662
620,-87.627385,41.884213
621,-87.65429,41.881615
622,-87.64362,41.8965
623,-87.647194,41.87645
624,-87.716109,41.887519
625,-87.621788,41.89917
626,-87.609612,41.891975
627,-87.649605,41.877907
628,-87.620674,41.879181
629,-87.631742,41.89003
630,-87.629799,41.878113
631,-87.627144,41.845524
632,-87.655655,41.94722
633,-87.663223,41.854935
634,-87.708237,41.953827
635,-87.632675,41.890499
636,-87.621429,41.89315
637,-87.629532,41.878048
638,-87.657173,41.939606
639,-87.617653,41.885414
640,-87.663649,41.935476
641,-87.63168,41.91121
642,-87.609612,41.891975
643,-87.603874,41.802109
644,-87.623306,41.851822
645,-87.651291,41.884109
646,-87.711647,41.91317
647,-87.658081,41.892033
648,-87.654862,41.883979
649,-87.627113,41.845505
650,-87.645187,41.810818
651,-87.590088,41.803497
652,-87.623138,41.892021
653,-87.643438,41.896551
654,-87.631116,41.738913
655,-87.630916,41.896023
656,-87.66378,41.963974
657,-87.629799,41.878113
658,-87.627281,41.86945
659,-87.622643,41.893845
660,-87.660858,41.969955
661,-87.628303,41.872161
662,-87.675529,41.926018
663,-87.63358,41.925682
664,-87.623833,41.898197
665,-87.667404,41.891083
666,-87.6541,41.940224
667,-87.616989,41.866173
668,-87.631653,41.88908
669,-87.624028,41.898417
670,-87.653568,41.934752
671,-87.660965,41.899818
672,-87.631721,41.890015
673,-87.621284,41.897167
674,-87.709373,41.86668
675,-87.623589,41.849895
676,-87.646996,41.8914
677,-87.629799,41.878113
678,-87.724861,41.859566
679,-87.635086,41.830925
